Salinity,Depth
33.8625,2.4419999999999997
33.8622,2.5980000000000003
33.8637,2.492
33.8641,2.541
33.8644,2.541
33.8639,2.541
33.8615,2.541
33.8585,2.648
33.8617,2.541
33.864,2.648
33.8618,2.648
33.8636,2.5980000000000003
33.8598,2.697
33.8591,2.648
33.8606,2.697
33.861,2.648
33.8693,2.7539999999999996
33.8722,2.7539999999999996
33.8627,2.697
33.8537,2.7539999999999996
33.8466,2.7539999999999996
33.8459,2.803
33.855,2.7539999999999996
33.8615,2.803
33.8691,2.86
33.8721,2.803
33.8712,2.91
33.8652,2.853
33.8631,2.91
33.8628,2.86
33.8625,2.9589999999999996
33.8617,2.91
33.8641,3.016
33.8655,3.009
33.8611,3.016
33.8488,3.016
33.8438,3.016
33.8559,3.0660000000000003
33.8649,3.0660000000000003
33.8728,3.115
33.8637,3.115
33.8608,3.115
33.8611,3.115
33.8654,3.1719999999999997
33.8681,3.1719999999999997
33.8651,3.1719999999999997
33.8648,3.165
33.8653,3.221
33.8669,3.221
33.867,3.278
33.8659,3.278
33.8666,3.278
33.8654,3.3280000000000003
33.8633,3.377
33.8625,3.3280000000000003
33.8626,3.377
33.8633,3.377
33.8641,3.377
33.8655,3.4339999999999997
33.8648,3.484
33.8655,3.484
33.8658,3.484
33.8662,3.533
33.8671,3.533
33.8663,3.533
33.8678,3.533
33.8686,3.533
33.8681,3.696
33.8637,3.59
33.8631,3.639
33.8655,3.639
33.8665,3.696
33.8654,3.6889999999999996
33.8656,3.7460000000000004
33.8657,3.696
33.8654,3.795
33.8655,3.7460000000000004
33.8687,3.795
33.8716,3.852
33.8675,3.795
33.8647,3.9010000000000002
33.8657,3.852
33.8655,3.852
33.8666,3.951
33.8693,3.9010000000000002
33.8702,3.951
33.8691,3.951
33.8665,4.008
33.8636,4.008
33.8642,3.951
33.8639,4.114
33.8631,4.114
33.8617,4.114
33.8623,4.107
33.8632,4.164
33.8641,4.213
33.8645,4.164
33.865,4.164
33.8658,4.27
33.8652,4.27
33.8657,4.319
33.8648,4.263
33.8649,4.369
33.8649,4.319
33.866,4.369
33.8675,4.369
33.8673,4.426
33.8667,4.426
33.8653,4.426
33.8643,4.475
33.8645,4.475
33.8667,4.475
33.868,4.532
33.867,4.582
33.8659,4.582
33.8659,4.582
33.8663,4.582
33.8668,4.631
33.8664,4.688
33.8657,4.688
33.866,4.688
33.8662,4.688
33.8673,4.787
33.8672,4.737
33.8616,4.787
33.8583,4.787
33.8586,4.843999999999999
33.8613,4.893
33.8641,4.843999999999999
33.8651,4.843999999999999
33.8648,4.95
33.8644,4.95
33.864,4.95
33.8651,5.0
33.8662,5.0
33.8661,5.0
33.8657,5.0489999999999995
33.866,5.0489999999999995
33.8664,5.106
33.8659,5.106
33.866,5.155
33.8657,5.155
33.8625,5.155
33.8644,5.205
33.8673,5.2620000000000005
33.8669,5.205
33.8634,5.205
33.8625,5.311
33.8633,5.311
33.8649,5.311
33.8648,5.367999999999999
33.8647,5.311
33.864,5.417999999999999
33.8664,5.417999999999999
33.8625,5.4670000000000005
33.8585,5.417999999999999
33.862,5.4670000000000005
33.8633,5.524
33.8651,5.524
33.8667,5.524
33.8696,5.5729999999999995
33.8711,5.5729999999999995
33.8695,5.622999999999999
33.8692,5.622999999999999
33.8711,5.622999999999999
33.8794,5.68
33.8816,5.729
33.875,5.68
33.8629,5.729
33.8582,5.7860000000000005
33.8617,5.729
33.8653,5.835
33.8675,5.7860000000000005
33.8682,5.885
33.8683,5.885
33.8674,5.885
33.8672,5.885
33.8677,5.942
33.8679,5.9910000000000005
33.8674,5.942
33.8672,5.9910000000000005
33.8674,6.041
33.8675,6.041
33.8674,6.098
33.8674,6.147
33.868,6.098
33.8676,6.147
33.8665,6.147
33.8666,6.204
33.8664,6.252999999999999
33.8659,6.204
33.8676,6.252999999999999
33.8679,6.303
33.8661,6.303
33.8654,6.303
33.8645,6.36
33.8667,6.409
33.8726,6.409
33.8719,6.409
33.8691,6.459
33.867,6.459
33.8664,6.516
33.8666,6.516
33.8663,6.565
33.8669,6.565
33.867,6.565
33.8658,6.622000000000001
33.8662,6.671
33.8658,6.671
33.8665,6.671
33.8668,6.721
33.8663,6.721
33.8661,6.778
33.8652,6.778
33.865,6.778
33.8652,6.827000000000001
33.8653,6.877000000000001
33.8669,6.877000000000001
33.8679,6.827000000000001
33.8672,6.983
33.8682,6.877000000000001
33.8676,7.04
33.8678,6.983
33.8686,7.04
33.8683,7.04
33.8676,7.04
33.8672,7.0889999999999995
33.8664,7.0889999999999995
33.8667,7.196000000000001
33.8671,7.138999999999999
33.8669,7.196000000000001
33.8686,7.245
33.8721,7.245
33.8708,7.196000000000001
33.8663,7.352
33.8628,7.295
33.8624,7.352
33.8618,7.401
33.8618,7.352
33.8638,7.401
33.8636,7.401
33.8638,7.507000000000001
33.8649,7.401
33.8661,7.507000000000001
33.866,7.557
33.867,7.557
33.867,7.557
33.8666,7.614
33.8672,7.614
33.8675,7.662999999999999
33.8673,7.662999999999999
33.8677,7.662999999999999
33.8671,7.712999999999999
33.8669,7.77
33.8668,7.712999999999999
33.8675,7.819
33.8675,7.819
33.8673,7.819
33.8669,7.876
33.8669,7.876
33.8663,7.925
33.8663,7.925
33.8669,7.975
33.867,7.975
33.8668,8.032
33.867,8.032
33.8667,8.032
33.867,8.081
33.8671,8.081
33.8659,8.187999999999999
33.8657,8.131
33.8659,8.032
33.8679,8.343
33.87,8.237
33.8693,8.294
33.8685,8.237
33.8674,8.343
33.8667,8.343
33.8662,8.343
33.8672,8.392999999999999
33.868,8.343
33.8671,8.45
33.8664,8.45
33.8662,8.499
33.8657,8.499
33.8659,8.499
33.8643,8.549
33.865,8.606
33.8676,8.549
33.8699,8.606
33.8677,8.655
33.8661,8.712
33.8668,8.655
33.8687,8.761000000000001
33.8678,8.712
33.8639,8.712
33.8636,8.868
33.8641,8.811
33.8652,8.868
33.8645,8.868
33.865,8.868
33.8651,8.811
33.8649,9.024
33.8644,9.024
33.8649,8.967
33.8655,8.967
33.8656,9.073
33.8662,9.073
33.866,9.073
33.8646,9.073
33.8649,9.229
33.8669,9.13
33.8675,9.229
33.8667,9.179
33.8655,9.229
33.8655,9.335
33.8653,9.286
33.8653,9.286
33.8648,9.335
33.8649,9.385
33.8635,9.385
33.8645,9.442
33.8656,9.442
33.8664,9.442
33.8674,9.548
33.8674,9.491
33.8659,9.548
33.8638,9.597000000000001
33.8626,9.548
33.8623,9.647
33.8647,9.647
33.8659,9.647
33.8648,9.753
33.8644,9.704
33.8667,9.753
33.8655,9.753
33.8636,9.802999999999999
33.8642,9.86
33.8654,9.802999999999999
33.8667,9.908999999999999
33.8667,9.908999999999999
33.8668,9.908999999999999
33.8664,9.908999999999999
33.8659,10.015
33.8657,10.015
33.8655,10.015
33.8661,10.015
33.866,10.122
33.8677,10.065
33.8673,10.171
33.8663,10.122
33.8652,10.228
33.8658,10.171
33.8664,10.277999999999999
33.866,10.228
33.8655,10.228
33.8654,10.327
33.8659,10.327
33.866,10.384
33.8661,10.384
33.8655,10.327
33.8663,10.482999999999999
33.866,10.433
33.8661,10.54
33.866,10.482999999999999
33.8661,10.54
33.8656,10.589
33.8647,10.54
33.8648,10.645999999999999
33.865,10.645999999999999
33.866,10.696
33.8676,10.696
33.8671,10.745
33.8647,10.745
33.8659,10.802
33.8667,10.802
33.8684,10.850999999999999
33.8669,10.850999999999999
33.8669,10.901
33.8662,10.901
33.866,10.958
33.8669,11.007
33.8669,10.958
33.8668,11.007
33.8664,11.064
33.8664,11.114
33.8661,11.114
33.8658,11.114
33.8658,11.114
33.8654,11.22
33.8658,11.22
33.866,11.22
33.8657,11.269
33.8654,11.269
33.8654,11.319
33.8662,11.376
33.8664,11.376
33.8661,11.376
33.8659,11.376
33.8653,11.482000000000001
33.8656,11.482000000000001
33.8661,11.482000000000001
33.8657,11.532
33.8658,11.581
33.8663,11.581
33.8663,11.638
33.8659,11.581
33.865,11.638
33.8654,11.737
33.8662,11.737
33.8657,11.687000000000001
33.8657,11.794
33.8675,11.794
33.8675,11.794
33.867,11.843
33.8661,11.9
33.8658,11.892999999999999
33.8664,11.9
33.8668,11.95
33.8663,11.999
33.866,11.999
33.8658,11.999
33.8649,12.056
33.8645,12.105
33.8643,12.056
33.8649,12.155
33.8648,12.155
33.8648,12.155
33.8655,12.261
33.8663,12.212
33.8669,12.261
33.8669,12.318
33.867,12.261
33.8668,12.318
33.8667,12.417
33.8658,12.368
33.8659,12.417
33.8661,12.474
33.868,12.474
33.8673,12.474
33.8659,12.523
33.8651,12.573
33.865,12.573
33.8647,12.573
33.8653,12.63
33.8663,12.63
33.8665,12.679
33.8665,12.735999999999999
33.866,12.735999999999999
33.8658,12.786
33.866,12.786
33.8661,12.786
33.867,12.835
33.8667,12.885
33.8656,12.892000000000001
33.8656,12.892000000000001
33.8655,12.940999999999999
33.8657,12.991
33.8663,12.940999999999999
33.8664,13.048
33.8662,13.048
33.8658,13.097000000000001
33.8664,13.097000000000001
33.8664,13.154000000000002
33.8667,13.097000000000001
33.8667,13.204
33.8665,13.204
33.8663,13.253
33.8664,13.253
33.8662,13.31
33.8663,13.253
33.8648,13.359000000000002
33.8637,13.31
33.8643,13.409
33.8654,13.409
33.8659,13.466
33.8663,13.466
33.8648,13.466
33.864,13.515
33.8646,13.572000000000001
33.8654,13.565
33.8654,13.622
33.8653,13.622
33.8658,13.671
33.8662,13.671
33.8656,13.728
33.8664,13.728
33.8672,13.777000000000001
33.8667,13.777000000000001
33.8659,13.827
33.8661,13.777000000000001
33.8659,13.933
33.8663,13.827
33.8665,13.933
33.8655,13.99
33.8658,13.933
33.8657,14.04
33.8664,14.04
33.8663,14.04
33.8663,14.089
33.8656,14.089
33.8653,14.089
33.8655,14.195
33.8661,14.139000000000001
33.8662,14.245
33.8661,14.245
33.8659,14.245
33.8658,14.302
33.8658,14.302
33.8659,14.408
33.8659,14.350999999999999
33.8654,14.408
33.8657,14.408
33.8653,14.450999999999999
33.8654,14.507
33.8657,14.458
33.865,14.458
33.8659,14.507
33.8649,14.564
33.8648,14.507
33.8653,14.507
33.8671,14.564
33.8669,14.557
33.8666,14.507
33.8661,14.614
33.8665,14.614
33.8673,14.564
33.867,14.614
33.8668,14.67
33.8661,14.72
33.8657,14.67
33.8684,14.67
33.8696,14.769
33.8677,14.72
33.8665,14.769
33.8657,14.769
33.8654,14.825999999999999
33.8659,14.769
33.8657,14.825999999999999
33.8654,14.876
33.8654,14.825999999999999
33.8658,14.869000000000002
33.8664,14.825999999999999
33.8656,14.925
33.8657,14.825999999999999
33.8654,14.876
33.865,14.925
33.8657,14.876
33.8662,14.876
33.8654,14.925
33.8662,14.925
33.8664,14.982000000000001
33.8665,14.982000000000001
33.8664,14.982000000000001
33.8651,14.925
33.8646,15.032
33.8642,15.032
33.8648,15.032
33.8655,14.982000000000001
33.864,15.081
33.8636,15.138
33.8638,14.982000000000001
33.8633,15.138
33.862,15.088
33.8612,15.187000000000001
33.8633,15.088
33.8648,15.187000000000001
33.8681,15.130999999999998
33.8677,15.244000000000002
33.8656,15.244000000000002
33.8654,15.187000000000001
33.8679,15.294
33.8687,15.294
33.8678,15.294
33.8686,15.294
33.8688,15.343
33.8696,15.4
33.8687,15.4
33.8668,15.4
33.8668,15.4
33.867,15.45
33.8688,15.505999999999998
33.8717,15.45
33.8684,15.4
33.8651,15.605
33.8678,15.505999999999998
33.8739,15.505999999999998
33.878,15.556
33.8756,15.556
33.8693,15.556
33.8656,15.605
33.8617,15.605
33.8626,15.662
33.8672,15.662
33.8693,15.662
33.8711,15.712
33.8766,15.712
33.8759,15.761
33.8693,15.712
33.865,15.811
33.8673,15.818
33.8744,15.761
33.8775,15.868
33.8738,15.868
33.8691,15.868
33.866,15.924000000000001
33.865,15.761
33.8684,16.073
33.87,15.924000000000001
33.8652,15.974
33.8647,15.974
33.8666,16.023
33.8703,15.974
33.8715,16.023
33.8726,16.073
33.873,16.08
33.873,16.13
33.8724,16.08
33.872,16.13
33.8714,16.179000000000002
33.8714,16.13
33.8714,16.229
